,TCH,GVR,PDR,SSI,NVL,DGC,EIB,LPB,SHB,STB,VRE,SBT,MSN,KDH,MWG,BCM,HPG,TPB,VIC,VHM
TCH,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
GVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDR,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
SSI,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
NVL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EIB,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
LPB,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
SHB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
STB,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
VRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SBT,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
MSN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KDH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MWG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPG,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
TPB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
VHM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
