,TCH,GVR,PDR,SSI,NVL,DGC,EIB,LPB,SHB,STB,VRE,SBT,MSN,KDH,MWG,BCM,HPG,TPB,VIC,VHM
TCH,,0.7409244546658318,8.103125564083267e-06,0.04391855259778343,0.09922933524329378,0.11497381316027157,0.9947449934588012,0.43624242397739277,0.5187029510169499,0.5723677736820396,0.05136515149384846,0.7466361727731525,0.0825311382965294,0.008528728064081196,0.3747627630684063,0.31885677927121314,0.03949303774487859,0.14232639557916205,0.9684150897046265,0.7708740385634429
GVR,0.594495053318133,,0.583370146815422,0.23123356051855123,0.7584158291324394,0.788500036866282,0.7824404636115011,0.7246214387761459,0.5692024238844631,0.5637804171481604,0.15070730234956206,0.3505735424818046,0.5254774842949046,0.07498260407048846,0.907904291289398,0.28610290819930495,0.8502327313362977,0.8570857932327652,0.9816558045880264,0.3493620108066182
PDR,0.007086574657958607,0.051155943603743426,,0.05692852571881565,0.3449902352077797,0.6891522816189884,0.2960711195260446,0.2735234999547725,0.01894751745112847,0.022671185496503522,0.011940305192928458,0.10363703496606877,0.8188748954301626,0.2411683396682632,0.38039266516392756,0.1552796332923634,0.007594437671470499,0.138610831606104,0.6348554168603194,0.17192824619802025
SSI,0.04736753201360683,0.07340544176235851,0.010413514416889445,,0.8227930096355864,0.27426928889232083,0.47208940854807546,0.08071284004982146,0.18755908550543562,0.25665085225473766,0.0027082322428658044,0.026249296232164307,0.18223673308587596,0.4670939873287001,0.19374322862955196,0.5451240357889098,0.24477393122597665,0.015708802003503927,0.4956538075461482,0.24232512973069506
NVL,0.13203259428182218,0.66224680498713,0.02191121528751577,0.3036340850294554,,0.12057503916844063,0.23606363540615152,0.4686751590074659,0.06839326147450972,0.23753565474358074,0.08516607727494184,0.6199892851618792,0.5145930297777728,0.46859684355578857,0.21154971112230198,0.09271644862428367,0.09582030115368266,0.31389952939469207,0.13091152329248465,0.030189850330144416
DGC,0.6833340671268564,0.06142392320232727,0.312749073267079,0.06706186025411341,0.3231529813158631,,0.7965088709065545,0.12229206029947202,0.5708157812161034,0.28930258987452123,0.8152515957407029,0.7272165491968,0.15598043140992032,0.819283074242754,0.018400074233952107,0.5485683701814927,0.599548309458596,0.12428699311435733,0.6000022490481604,0.8364566184359641
EIB,0.8192104559709753,0.2939020890843905,0.058620403094349495,0.0012664875329667373,0.03682568452356681,0.07249387931457192,,0.3806615968016448,0.9040773478464288,0.29775850163858797,0.17387259384535336,0.1644682134201101,0.40170179876387935,0.11541122576559695,0.6591844752532013,0.23954228265098432,0.031380325972849864,0.6320744459070231,0.013457961195176234,0.07210501624787269
LPB,0.6711482701970866,0.12859887226091843,0.13849866638909086,0.2553216440589373,0.5687539986005266,0.643573892135691,0.6751512922952544,,0.29829375040581013,0.019086261716710136,0.7358785856811416,0.15113821976390257,0.02033210586684432,0.4072808231118773,0.27955531099502556,0.10273739447561478,0.8046350390072203,0.33077160071839395,0.89712288544585,0.9941233982165188
SHB,0.4269130617974396,0.4595219294047437,0.66320918190848,0.36789106683209205,0.5647885544483935,0.5074137817778586,0.8430057168309907,0.09629125302786642,,0.1036194082606435,0.30052937075623565,0.7554994528012775,0.3737884913086402,0.33119459432876897,0.50866985700666,0.7570293521809925,0.2927519230890412,0.21451613722335558,0.5192107203032921,0.02467933886367006
STB,0.3444968590601225,0.2035524694558765,1.625260498907674e-05,0.4416552439180369,0.041588863892654926,0.45366991549972535,0.08740366881411311,0.2261634569784182,0.5256164594401221,,0.017256923244386914,0.5287580492786922,0.044217062621374856,0.01565506506867228,0.10414083299262673,0.5469413095773887,0.9898187981593503,0.22058805083457342,0.4886321973653637,0.12234357597800356
VRE,0.48373825043865626,0.6848963401614883,0.6316841429342799,0.4262844830099647,0.3779772401785073,0.12965003093735414,0.4394631220994283,0.1746504238002149,0.6042223724859922,0.9281803154825653,,0.5366116640256582,0.43422510354750277,0.3079439484004298,0.9485016628799512,0.2194284027641085,0.6195842868308175,0.6619011756533616,0.18714411619680094,0.0298881501807023
SBT,0.6953963782267503,0.9632438948200404,0.15949265256309586,0.6935106024149297,0.9216443873753783,0.050032320362738185,0.5088593960380474,0.9194068437505508,0.018028532738663942,0.1926116911122388,0.37741617387997484,,0.47101887141743926,0.03650708688627905,0.8548986605463861,0.27903011120640053,0.8877847384025306,0.913952775610811,0.4777102720888977,0.7278998483926017
MSN,0.5777330701018635,0.9395341351568132,0.002137863082099978,0.7393361544731898,0.6776177454354761,0.20214875242551147,0.17928412974667923,0.6281655931008429,0.15227094684795905,0.8703048642767742,0.7268443169405512,0.7390735017207147,,0.13381764676526836,0.11735220598605725,0.6117428592100633,0.9140822192646139,0.5559535033988354,0.8457961411605319,0.6718513559216793
