,SHB,HPG,SSI,VPB,STB,MBB,NVL,TCB,TPB,PDR,TCH,CTG,ACB,HDB,LPB,VRE,VHM,EIB,MWG,VIB
SHB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSI,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
VPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
STB,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
MBB,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
NVL,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
TCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDR,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0
TCH,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CTG,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ACB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LPB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
VHM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EIB,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MWG,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VIB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
