,SHB,HPG,SSI,VPB,STB,MBB,NVL,TCB,TPB,PDR,TCH,CTG,ACB,HDB,LPB,VRE,VHM,EIB,MWG,VIB
SHB,,0.3436249151975007,0.8903408611781062,0.8532183793221554,0.2440536186670264,0.8522556474794007,0.5396193130794313,0.8552287847436436,0.45995875333814185,0.9218701765150555,0.6089162005931735,0.9570928467651878,0.22264442951461436,0.6935572548333724,0.36143072971883017,0.3101232718005802,0.03651346041619991,0.7945985850651046,0.6997932751985048,0.15342980508587245
HPG,0.4417771725049242,,0.4856140295989684,0.9041183846311991,0.6819937072549292,0.9685764473102865,0.5017130240087796,0.41428194734460155,0.68011693274528,0.22779199340024656,0.7782100326967114,0.8719862960163084,0.1712497258244619,0.6780341541441712,0.7351306951219447,0.9121742670889071,0.7750485706087623,0.8772643288602572,0.05982489789931219,0.7998171073371049
SSI,0.06862576416518654,0.17394787667640596,,0.0241623965315255,0.2728808223304438,0.02475910297326513,0.9941097129203268,0.19347896944173362,0.02255554112376208,0.010776521582596656,0.01470398488153696,0.007496527326744903,0.7055005963211859,0.08573389638532457,0.09421014775313287,0.0017304453484494687,0.28883314243535607,0.37043535054615684,0.1053091014971864,0.0800608035242282
VPB,0.1556616179869832,0.3807908844754231,0.5537374628485997,,0.441429070578628,0.8051790435321382,0.43988653939362143,0.18491622718504158,0.19878308160385882,0.7819325283876792,0.39190040194124576,0.18170956339853478,0.2948298916048108,0.07825336017058646,0.0014112006942963206,0.321974970447954,0.79028317129423,0.7515117086587574,0.33876459749331,0.09686219794973797
STB,0.8660091310671276,0.9860234227062806,0.20111348252776318,0.019137378862066852,,0.01238475541343807,0.0530343988135546,0.18079984768077106,0.13887360104555885,1.0345522013202068e-06,0.5502188966702897,0.15408736395824196,0.15430821209406737,0.11324960336382757,0.23628898154141836,0.008450131419098008,0.13152486645523645,0.07875148052591294,0.04623529383183663,0.9697939399899486
MBB,0.52228214139316,0.299339557451667,0.269233321252238,0.018582218978617265,0.4934068942897911,,0.5072345470755312,0.28303090951530063,0.9175795047699035,0.032193462646761144,0.3235648370322133,0.11730786850929198,0.052692351224247015,0.6537329188154726,0.38733578829802584,0.8320581826426736,0.6056098196766857,0.008501516865760398,0.007856578519777849,0.6369042976849726
NVL,0.05654205674031708,0.12000000813108957,0.39475226681191855,0.19058695000707362,0.19593069274554795,0.06862036722208546,,0.034221699886999385,0.3463140941454468,0.03135637417666601,0.16003915808337288,0.22135334658575476,0.03161628063275558,0.6002087620736662,0.48457803479076633,0.08698349786857268,0.03231366384478468,0.29250778070970473,0.2803926395333256,0.9284281613402409
TCB,0.40572682141500493,0.7537937842357316,0.5888784742805966,0.739304114141371,0.4619824126157077,0.9240564562214373,0.316579036700192,,0.7987263240218658,0.9257314202630432,0.20019430163287855,0.734128481406132,0.20536141685750378,0.15395238426922883,0.34197368067194034,0.19166599358627578,0.677514698622439,0.8099120352161812,0.8995422120021918,0.6521182406889464
TPB,0.14533583977078998,0.724753953374563,0.10837022391170063,0.3525910029110795,0.3855959786806866,0.46242059567801974,0.622231029335051,0.6705453534148569,,0.43369612062795193,0.6198672426758458,0.4059547460475835,0.5356074461740631,0.5923686730354952,0.4669615132382475,0.7061603961272933,0.09458143049947057,0.9860956146955837,0.362200712308273,0.18955085995236318
PDR,0.01011049769578917,0.004660262528981203,0.05121206011684969,0.010619339012055213,0.02483817759292922,0.03999897493066697,0.4952439974105346,0.027461248869375874,0.11867144124420202,,0.009614279880103653,0.01509418097127131,0.027243710838972514,0.12730884122735645,0.2820106498717043,0.008055700819075697,0.09684775703782805,0.25255898863194315,0.2829125321170559,0.06770169927286233
TCH,0.5968491807856364,0.04417670298130278,0.00924116433196056,0.0321026618236978,0.5409492967189938,0.8150596704428819,0.02035463094103843,0.7287197567167805,0.0760506296094835,3.855010653782162e-06,,0.9937815388658754,0.36366262828842055,0.8048629536082874,0.39910564287680184,0.04920099399590789,0.3692524645479063,0.8779549398581227,0.3629627535808839,0.5259515750199175
CTG,0.07650366205947473,0.03414422674731117,0.46618854529016995,0.34584850091333763,0.9770048099779803,0.04581376973679348,0.30784473386077976,0.5945777190404364,0.9762617937246353,0.2514420261421733,0.0025751041721124735,,0.8332644879942019,0.950504293575927,0.5160790755296512,0.7343805194235002,0.6895225084431336,0.16830234389020057,0.00252322301434709,0.5827104176763284
ACB,0.3729736965516116,0.6676848056695346,0.4355965269079014,0.2900984000648794,0.15582282701968359,0.5058495489941541,0.36359331881594226,0.2552996112419702,0.35074494092402464,0.9587797334115595,0.07353343998854771,0.5421887210057508,,0.11647849265468299,0.05360742411819378,0.347628373263266,0.9569338508637992,0.18957398735692746,0.7652519799899775,0.0326597980041887
HDB,0.3223305074923378,0.7999907888533053,0.6600659507832037,0.09152204635499732,0.07729843954050603,0.7003644451521885,0.05097803049238292,0.2840241876275935,0.8984135179565177,0.5314865643324251,0.2681504557702926,0.7552479681298152,0.5900906900129025,,0.030807832462585304,0.1953486034874962,0.5202723538759814,0.3653834467100501,0.8824781843509042,0.7938149621363895
